molecule,solvent,label
CC1(C)C(/C=C2C(C(/C=C3C(C)(C)C(C=CC4=C5N=C(C)C=C4)=C5N/3CC)=C\2[O-])=O)=[N+](CC)C6=C7C(C=CC(C)=N7)=CC=C61,CC#N,674
CC1(C)C(/C=C2C(C(/C=C3C(C)(C)C(C=CC4=C5N=C(C)C=C4)=C5N/3CC)=C\2[O-])=O)=[N+](CC)C6=C7C(C=CC(C)=N7)=CC=C61,CO,671
CC(C1=C(N/2CCCCCC(O)=O)C=CC3=CC=CC=C31)(C)C2=C/C4=C([O-])/C(C4=O)=C\C5=[N+](CCCCCC(O)=O)C6=C(C(C=CC=C7)=C7C=C6)C5,O,665
[O-]C(/C1=C\C([C@]2(CC)CCCC)=[N+](CCCCCC)C3=C2C=CC=C3)=C(/C=C4C(C)(C)C(C=C(C(O)=O)C=C5)=C5N/4C)C1=O,ClCCl,643
[O-]C(/C1=C\C([C@]2(CCCCCC)CCCCCCCC)=[N+](CCCCCC)C3=C2C=CC=C3)=C(/C=C4C(C)(C)C(C=C(C(O)=O)C=C5)=C5N/4C)C1=O,ClCCl,643
[O-]C(/C1=C\C([C@]2(CCCCCCCCCC)CCCCCCCCCCCC)=[N+](CCCCCC)C3=C2C=CC=C3)=C(/C=C4C(C)(C)C(C=C(C(O)=O)C=C5)=C5N/4C)C1=O,ClCCl,643
[O-]C(/C1=C\C([C@]2(CCCCCCCCCC)CCCCCCCCCCCC)=[N+](CCCCCCCCCCCC)C3=C2C=CC=C3)=C(/C=C4C(C)(C)C(C=C(C(O)=O)C=C5)=C5N/4C)C1=O,ClCCl,643
[O-]C(/C1=C\C([C@]2(CCCCCCCCCC)CCCCCCCCCCCC)=[N+](C)C3=C2C=CC=C3)=C(/C=C4C(C)(C)C(C=C(C(O)=O)C=C5)=C5N/4C)C1=O,ClCCl,642
[O-]C(/C1=C\C([C@]2(CCCCCCCCCC)CCCCCCCCCCCC)=[N+](CCCCCCCCCCCC)C3=C2C=CC=C3)=C(/C=C4[C@@](CCCC)(CC)C(C=C(C(O)=O)C=C5)=C5N/4CCCC)C1=O,ClCCl,650
CC1(C)C(/C=C2C([O-])=C(/C=C3C(C)(C)C(C=CC=C4)=C4N/3C)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CC#N,668
CC1(C)C(/C=C2C([O-])=C(/C=C3C(C)(C)C(C=CC=C4)=C4N/3C)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,ClCCl,680
CC1(C)C(/C=C2C([O-])=C(/C=C3C(C)(C)C(C=CC=C4)=C4N/3C)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,[H]C(N(C)C)=O,676
CC1(C)C(/C=C2C([O-])=C(/C=C3C(C)(C)C(C=CC=C4)=C4N/3C)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CS(C)=O,681
CC1(C)C(/C=C2C([O-])=C(/C=C3C(C)(C)C(C=CC=C4)=C4N/3C)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CCO,671
CC1(C)C(/C=C2C([O-])=C(/C=C3C(C)(C)C(C=CC=C4)=C4N/3C)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,C1CCCO1,685
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCC(OCCCC)=O)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CC#N,673
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCC(OCCCC)=O)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,ClCCl,686
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCC(OCCCC)=O)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,[H]C(N(C)C)=O,681
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCC(OCCCC)=O)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CS(C)=O,680
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCC(OCCCC)=O)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CCO,674
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCC(OCCCC)=O)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,C1CCCO1,691
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CC#N,672
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,ClCCl,685
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,[H]C(N(C)C)=O,679
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CS(C)=O,678
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CCO,673
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,C1CCCO1,691
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=C(I)C=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CC#N,683
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=C(I)C=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,ClCCl,696
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=C(I)C=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,[H]C(N(C)C)=O,689
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=C(I)C=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CS(C)=O,688
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=C(I)C=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CCO,683
CC1(C)C(/C=C2C([O-])=C(/C=C3SC(C=C(I)C=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,C1CCCO1,700
CC1(C)C(/C=C2C([O-])=C(/C=C3[Se]C(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CC#N,681
CC1(C)C(/C=C2C([O-])=C(/C=C3[Se]C(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,ClCCl,694
CC1(C)C(/C=C2C([O-])=C(/C=C3[Se]C(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,[H]C(N(C)C)=O,688
CC1(C)C(/C=C2C([O-])=C(/C=C3[Se]C(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CS(C)=O,688
CC1(C)C(/C=C2C([O-])=C(/C=C3[Se]C(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,CCO,682
CC1(C)C(/C=C2C([O-])=C(/C=C3[Se]C(C=CC=C4)=C4N/3CCCCCC)C/2=C(C#N)\C#N)=[N+](C)C5=CC=CC=C51,C1CCCO1,698
CCN(CC)C1=CC2=CC(OC(C(C3=NC4=C(C=CC=C4)S3)=C5)=O)=C5C=C2C=C1,CCCCCC,456
CCN(CC)C1=CC2=CC(OC(C(C3=NC4=C(C=CC=C4)S3)=C5)=O)=C5C=C2C=C1,OCC(C)OCC(C)OCC,468
CCN(CC)C1=CC2=CC(OC(C(C3=NC4=C(C=CC=C4)S3)=C5)=O)=C5C=C2C=C1,COC(CCCCC(OC)=O)=O,468
CCN(CC)C1=CC2=CC(OC(C(C3=NC4=C(C=CC=C4)S3)=C5)=O)=C5C=C2C=C1,COC,473
CCN(CC)C1=CC2=CC(OC(C(C3=NC4=C(C=CC=C4)S3)=C5)=O)=C5C=C2C=C1,CCOC(C)=O,483
CCN(CC)C1=CC2=CC(OC(C(C3=NC4=C(C=CC=C4)S3)=C5)=O)=C5C=C2C=C1,CC#N,493
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C=C(C=NN4C5=CC=CC=C5)C4=N3,ClCCl,379
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C=C(C(C)=NN4C5=CC=CC=C5)C4=N3,ClCCl,377
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C=C(C(C4=CC=CC=C4)=NN5C6=CC=CC=C6)C5=N3,ClCCl,359
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C=C(C(C4=CC=CC=C4)=NN5C)C5=N3,ClCCl,350
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C=NC4=C3C=NN4C5=CC=CC=C5,ClCCl,405
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C=NC4=C3C(C)=NN4C5=CC=CC=C5,ClCCl,404
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C(C)=NC4=C3C=NN4C5=CC=CC=C5,ClCCl,403
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C(C)=NC4=C3C(C)=NN4C5=CC=CC=C5,ClCCl,403
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C(C)=NC4=C3C(C5=CC=CC=C5)=NN4C6=CC=CC=C6,ClCCl,410
O=C1OC2=CC(N(CC)CC)=CC=C2C3=C1C(C)=NC4=C3C(C5=CC=CC=C5)=NN4C,ClCCl,408
O=C1OC2=CC=C(OC)C=C2C=C1,CC#N,344
O=C1OC2=CC=C(OC)C=C2C=C1C,CC#N,334
O=C1OC2=CC=C(OC)C=C2C=C1C(OCC)=O,CC#N,366
O=C1OC2=CC=C(OC)C=C2C=C1C(C)=O,CC#N,367
O=C1OC2=CC=C(OC)C=C2C=C1C#N,CC#N,347
O=C1OC2=CC=C(OC)C=C2C=C1[N+]([O-])=O,CC#N,393
O=C(CCC1)C2=C1NC(C3=CC=CC=C3O4)=C(C2C5=CC=CC=C5)C4=O,CS(C)=O,368
O=C(CCC1)C2=C1NC(C3=CC=CC=C3O4)=C(C2C5=CC([N+]([O-])=O)=CC=C5)C4=O,CS(C)=O,373
O=C(CCC1)C2=C1NC(C3=CC=CC=C3O4)=C(C2C5=CC(OC)=CC=C5)C4=O,CS(C)=O,361
O=C(CCC1)C2=C1NC(C3=CC=CC=C3O4)=C(C2C5=CC=C(Cl)C=C5)C4=O,CS(C)=O,373
O=C(CCC1)C2=C1NC(C3=CC=CC=C3O4)=C(C2C5=CC(C)=CC=C5)C4=O,CS(C)=O,366
O=C(C(C(NNC1=C(/N=N/C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1)=O)=C3)OC4=C3C=CC=C4,CO,365
O=C(C(C(NNC1=C(/N=N/C2=CC=C(Br)C=C2)C(N)=NC(N)=N1)=O)=C3)OC4=C3C=CC=C4,CO,365
O=C(C(C(NNC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C(N)=NC(N)=N1)=O)=C3)OC4=C3C=CC=C4,CO,405
O=C(C(C(NNC1=C(/N=N/C2=CC=C(C(OC)=O)C=C2)C(N)=NC(N)=N1)=O)=C3)OC4=C3C=CC=C4,CO,355
O=C(C(C(NNC1=C(/N=N/C2=CC=C(NC(C)=O)C=C2)C(N)=NC(N)=N1)=O)=C3)OC4=C3C=CC=C4,CO,355
O=C(O1)C(C2=NN=C3N2C(N)=NC(N)=C3)=CC4=C1C=CC=C4,CO,293
O=C(C(C(OC)=O)=C1)OC2=C1C3=C(C=C2)C=CC=C3,CO,371
N=C(C(C(OCC)=O)=C1)OC2=C1C3=C(C=C2)C=CC=C3,CO,363
O=C(C(C(NN)=O)=C1)OC2=C1C3=C(C=C2)C=CC=C3,CO,360
O=C(C(C(NNC1=C(/N=N/C2=CC=C(Br)C=C2)C(N)=NC(N)=N1)=O)=C3)OC4=C3C5=C(C=C4)C=CC=C5,CO,379
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CC#N,452.2
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CO,457
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CCO,457
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CC(C)=O,454.2
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CCCO,451
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CCCCO,450.8
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CC(OCC)=O,450
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,ClC(Cl)Cl,456
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CCOCC,430
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CC1=CC=CC=C1,449
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,C1COCCO1,442
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,C1CCCCC1,428.6
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NC(C=CC=C4)=C4S3,CCCCCC,425.8
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CC#N,434.6
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CO,436
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CCO,434
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CC(C)=O,433.8
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CCCO,433
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CCCCO,435.8
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CC(OCC)=O,432.8
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,ClC(Cl)Cl,437
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CCOCC,431.2
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CC1=CC=CC=C1,435
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,C1COCCO1,431
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,C1CCCCC1,423.6
O=C(C(C1=NC(C=CC=C2)=C2N1)=C3)OC4=C3C=CC(N(CC)CC)=C4,CCCCCC,421.4
O=C(C(N1C(C2=CC=CC=C2O)=NC(C3=CC=CC=C3)=C1C4=CC=CC=C4)=C5)OC6=C5C=CC(N(CC)CC)=C6,CC#N,391
O=C(C(N1C(C2=CC=CC=C2O)=NC(C3=CC=CC=C3)=C1C4=CC=CC=C4)=C5)OC6=C5C=CC(N(CC)CC)=C6,CCO,395
O=C(C(N1C(C2=CC=CC=C2OC)=NC(C3=CC=CC=C3)=C1C4=CC=CC=C4)=C5)OC6=C5C=CC(N(CC)CC)=C6,CC#N,400
O=C(C(N1C(C2=CC=CC=C2OC)=NC(C3=CC=CC=C3)=C1C4=CC=CC=C4)=C5)OC6=C5C=CC(N(CC)CC)=C6,CCO,402
O=C1OC2=CC=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,CC1=CC=CC=C1,366
O=C1OC2=CC=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,CCO,362
O=C1OC2=CC=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,CC(C)=O,360
O=C1OC2=CC=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,[H]C(N(C)C)=O,360
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,CC1=CC=CC=C1,432
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,CCO,444
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,CC(C)=O,434
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C=O)C(C4=CC=CC=C4)C3,[H]C(N(C)C)=O,436
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,CC1=CC=CC=C1,370
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,CCO,358
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,CC(C)=O,360
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,[H]C(N(C)C)=O,360
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=C(C)C=C4)C3,CC1=CC=CC=C1,370
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=C(C)C=C4)C3,CCO,360
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=C(C)C=C4)C3,CC(C)=O,360
O=C1OC2=CC=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=C(C)C=C4)C3,[H]C(N(C)C)=O,360
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,CC1=CC=CC=C1,432
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,CCO,440
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,CC(C)=O,432
O=C1OC2=CC(N(CC)CC)=CC=C2C=C1C3=NN(C(C)=O)C(C4=CC=CC=C4)C3,[H]C(N(C)C)=O,438
O=C1C=CC2=CC=C(O)C=C2C1(F)F,O,467
O=C1C=CC2=CC=C(N(CC)CC)C=C2C1(F)F,O,491
O=C1C(C(F)(F)F)=CC2=CC=C(N(CC)CC)C=C2C1(F)F,O,500
O=C1C(Br)=CC2=CC=C(N(CC)CC)C=C2C1(F)F,O,514
O=C1C=C(C2=CC=CC=C2)C3=CC=C(N(CC)CC)C=C3C1(F)F,O,480
O=C1C=C(C#N)C2=CC=C(N(CC)CC)C=C2C1(F)F,O,560
FC(C1=CC(N(CC)CC)=CC=C1C(C2=CC=CC=C2)=C/3)(F)C3=C/C#N,O,480
FC(C1=CC(N(CC)CC)=CC=C1C=C/2)(F)C2=C(C#N)/C#N,O,625
FC(C1=CC(N(CC)CC)=CC=C1C(C2=CC=CC=C2)=C/3)(F)C3=C(C#N)/C#N,O,608
FC(C1=CC(N(CC)CC)=CC=C1C(C#N)=C/2)(F)C2=C(C#N)/C#N,O,694
O=C1C=C(C)C2=NC=C(N3CCOCC3)C=C2C1(F)F,O,422
O=C1C=CC2=CC=C(O)C=C2O1,O,381
O=C1C=C(C)C2=CC=C(N(CC)CC)C=C2O1,O,382
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C#N)/C#N,O,485
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=[N+](C)C=C3)/C#N,O,543
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=[N+](C)C=C3)/C#N,CC#N,548
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=[N+](C)C=C3)/C#N,ClCCl,569
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=[N+](CC(F)(F)F)C=C3)/C#N,O,562
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=[N+](CC(F)(F)F)C=C3)/C#N,CC#N,567
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=[N+](CC(F)(F)F)C=C3)/C#N,ClCCl,588
C[N+](C=C1)=CC=C1/C(C#N)=C2OC3=CC(N(C)C)=CC=C3C(C(F)(F)F)=C\2,O,567
C[N+](C=C1)=CC=C1/C(C#N)=C2OC3=CC(N(C)C)=CC=C3C(C(F)(F)F)=C\2,CC#N,569
C[N+](C=C1)=CC=C1/C(C#N)=C2OC3=CC(N(C)C)=CC=C3C(C(F)(F)F)=C\2,ClCCl,600
FC(C(C1=CC=C(N(C)C)C=C1O/2)=CC2=C(C3=CC=[N+](CC(F)(F)F)C=C3)/C#N)(F)F,O,595
FC(C(C1=CC=C(N(C)C)C=C1O/2)=CC2=C(C3=CC=[N+](CC(F)(F)F)C=C3)/C#N)(F)F,CC#N,597
FC(C(C1=CC=C(N(C)C)C=C1O/2)=CC2=C(C3=CC=[N+](CC(F)(F)F)C=C3)/C#N)(F)F,ClCCl,621
CC(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](C)C=C4)/C#N,O,515
CC(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](C)C=C4)/C#N,CC#N,541
CC(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](C)C=C4)/C#N,CC1=CC=CC=C1,563
CC(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](CC(F)(F)F)C=C4)/C#N,O,545
CC(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](CC(F)(F)F)C=C4)/C#N,CC#N,561
CC(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](CC(F)(F)F)C=C4)/C#N,CC1=CC=CC=C1,580
C[N+](C=C1)=CC=C1/C(C#N)=C2OC3=CC(N4CCC4)=CC=C3C(C(F)(F)F)=C\2,O,541
C[N+](C=C1)=CC=C1/C(C#N)=C2OC3=CC(N4CCC4)=CC=C3C(C(F)(F)F)=C\2,CC#N,567
C[N+](C=C1)=CC=C1/C(C#N)=C2OC3=CC(N4CCC4)=CC=C3C(C(F)(F)F)=C\2,CC1=CC=CC=C1,607
FC(C(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](CC(F)(F)F)C=C4)/C#N)(F)F,O,592
FC(C(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](CC(F)(F)F)C=C4)/C#N)(F)F,CC#N,602
FC(C(C1=CC=C(N2CCC2)C=C1O/3)=CC3=C(C4=CC=[N+](CC(F)(F)F)C=C4)/C#N)(F)F,CC1=CC=CC=C1,625
O=C1C2=C3C(C(N4CC4)=CC=C3C(N1C)=O)=CC=C2,CO,382
O=C1C2=C3C(C(N4CCC4)=CC=C3C(N1C)=O)=CC=C2,CO,445
O=C1C2=C3C(C(N4CCCC4)=CC=C3C(N1C)=O)=CC=C2,CO,448
O=C1C2=C3C(C(N4CCOCC4)=CC=C3C(N1C)=O)=CC=C2,CO,394
O=C1C2=C3C(C(N4CCCCC4)=CC=C3C(N1C)=O)=CC=C2,CO,409
O=C1C2=C3C(C(N4CCCCCC4)=CC=C3C(N1C)=O)=CC=C2,CO,437
O=C1C2=C3C(C(N(C)C)=CC=C3C(N1C)=O)=CC=C2,CO,419
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C#N)/C#N,CO,477
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C#N)/C#N,ClCCl,479
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=C([N+]([O-])=O)C=C3)/C#N,CO,493
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=C([N+]([O-])=O)C=C3)/C#N,ClCCl,499
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)/C#N,CO,539
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=CC=C([N+]([O-])=O)C=C3[N+]([O-])=O)/C#N,ClCCl,558
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O)/C#N,CO,567
CC(C1=CC=C(N(CC)CC)C=C1O/2)=CC2=C(C3=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C3[N+]([O-])=O)/C#N,ClCCl,607
O=C(C1=CC=CC=C1)OCC(C2=CC=C(N(CC)CC)C=C2O/3)=CC3=C(C4=CC=C([N+]([O-])=O)C=C4)/C#N,ClCCl,501
O=C(C1=CC=CC=C1)OCC(C2=CC=C(N(CC)CC)C=C2O/3)=CC3=C(C4=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C4)/C#N,ClCCl,551
O=C(C1=CC=CC=C1)OCC(C2=CC=C(N(CC)CC)C=C2O/3)=CC3=C(C4=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C4[N+]([O-])=O)/C#N,ClCCl,596
O=C(C1=CC=CC=C1)OC(C)C(C2=CC=C(N(CC)CC)C=C2O/3)=CC3=C(C4=CC=C([N+]([O-])=O)C=C4)/C#N,ClCCl,503
O=C1OC2=CC=CC=C2C(C3=C4N5CCCN4CC3)=C1C5=O,ClCCl,411
O=C1OC2=CC=CC=C2C(C3=C4N5CCCN4CCCC3)=C1C5=O,ClCCl,412
F[B-]1(F)N2C(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=C2N=C5C(C6=CC=CC=C6)=CC(C7=CC=CC=C7)=[N+]15,ClC(Cl)Cl,640
F[B-]1(F)N2C(C3=CC=C(OC)C=C3)=CC(C4=CC=CC=C4)=C2N=C5C(C6=CC=CC=C6)=CC(C7=CC=C(OC)C=C7)=[N+]15,ClC(Cl)Cl,688
F[B-]1(F)N2C(C3=CC=C(N(C)C)C=C3)=CC(C4=CC=CC=C4)=C2N=C5C(C6=CC=CC=C6)=CC(C7=CC=C(N(C)C)C=C7)=[N+]15,ClC(Cl)Cl,799
F[B-]1(F)N2C(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=C2N=C5C(C6=CC=CC=N6)=CC(C7=CC=CC=C7)=[N+]15,CC#N,655
F[B-]1(F)N2C(C3=CC=CC=C3)=CC(C4=CC=C(OC)C=C4)=C2N=C5C(C6=CC=C(OC)C=C6)=CC(C7=CC=CC=C7)=[N+]15,ClC(Cl)Cl,664
F[B-]1(F)N2C(C3=CC=CC=C3)=CC(C4=CC=C(N(C)C)C=C4)=C2N=C5C(C6=CC=C(N(C)C)C=C6)=CC(C7=CC=CC=C7)=[N+]15,CC1=CC=CC=C1,763
F[B-]1(F)N2C(C3=CC=CC=C3)=CC(C4=CC=CS4)=C2N=C5C(C6=CC=CS6)=CC(C7=CC=CC=C7)=[N+]15,ClCCl,683
