molecule,solvent,label
F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6C(C)(C)C(C=CC=C7)=C7N\6C,ClCCl,730
F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6SC(C=CC=C7)=C7N\6CC,ClCCl,745
F[B-]([N+]1=C(C)C(C(OCC)=O)=C(C2=CC=CC=C2)C1=C3)(F)N4C3=C(C5=CC=CC=C5)C(C(OCC)=O)=C4/C=C/C=C6C=CC(C=CC=C7)=C7N\6C,ClCCl,778
F[B-]([N+]1=C(/C=C/C2=CC=C(OCC(OCC)=O)C=C2)C=C(C)C1=C3)(F)N4C3=C(C=CC=C5)C5=C4C6=C(C)C=C(C)N6,ClCCl,680
F[B-]([N+]1=C(/C=C/C2=CC=C(OCC(OCC)=O)C=C2)C=C(C)C1=C3/C=C/C4=CC=C(OCC(OCC)=O)C=C4)(F)N5C3=C(C=CC=C6)C6=C5C7=C(C)C=C(C)N7,ClCCl,676
F[B-]([N+]1=C(C=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C=C(C7=CC=C(OC)C=C7)S6,ClC(Cl)Cl,731
F[B-]([N+]1=C(C(Br)=C(C2=CC=C(OC)C=C2)S3)C3=CC1=C4C(F)(F)F)(F)N5C4=CC6=C5C(Br)=C(C7=CC=C(OC)C=C7)S6,ClC(Cl)Cl,720
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,CCCCCC,723
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,ClC(Cl)Cl,727
F[B-]([N+]1=C(C(NC=C2C(C)C)=C2C3=C4C=CC=C3)C4=C(C(C)C)C1=C5)(F)N6C5=C(C(C)C)C7=C6C8=C(C(C(C)C)=CN8)C9=C7C=CC=C9,CS(C)=O,729
F[B-]([N+]1=CC(C=C(C(CC2=C(CC)C(CC)=C(C)N2[B-]3(F)F)[N+]3=C4C)C4=C5)=C5C1=C6)(F)N7C6=C(CC)C(CC)=C7C,ClCCl,758
CC1=C2C(C=C(C3=CC4=C(CC)C(CC)=C(C)N4[B-](F)(F)[N+]3=C5)C5=C2)=C6N1[B-](F)(F)[N+]7=C(C)C(CC)=C(CC)C7=C6,ClCCl,692
F[B-]([N+]1=CC(C=C(C(CC2=C(C=CC=C3)C3=C(C)N2[B-]4(F)F)[N+]4=C5C)C5=C6)=C6C1=C7)(F)N8C7=C(C=CC=C9)C9=C8C,ClCCl,848
CC1=C2C(C=C(C3=CC4=C(C=CC=C5)C5=C(C)N4[B-](F)(F)[N+]3=C6)C6=C2)=C7N1[B-](F)(F)[N+]8=C(C)C(C=CC=C9)=C9C8=C7,ClCCl,775
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=C(OC)C=C7,ClC(Cl)Cl,688
F[B-]([N+]1=C(C2=CC=CS2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C=C5C7=CC=CS7,CC#N,710
F[B-]([N+]1=C(C2=CC=CS2)C=C(C3=CC=CS3)C1=N4)(F)N5C4=C(C6=CC=CS6)C=C5C7=CC=CS7,CC#N,733
F[B-]([N+]1=C(C2=CC=C(C#CC3=CC=C(N(C(CCCCC)=O)C(CCCCC)=O)C=C3)C=C2)C=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C=C6C8=CC=C(C#CC9=CC=C(N(C(CCCCC)=O)C(CCCCC)=O)C=C9)C=C8,CC1=CC=CC=C1,740
F[B-]([N+]1=C(C2=CC=C(OC)C=C2CC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,740
F[B-]([N+]1=C(C2=CC=CC=C2CC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,723
F[B-]([N+]1=C(C2=CC=CC=C2SC3)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=CC=C9)SC8,ClC(Cl)Cl,706
F[B-]([N+]1=C(C2=CC=C(OC)C=C2)C=C(C3=CC=CC=C3)C1=N4)(F)N5C4=C(C6=CC=CC=C6)C7=C5C8=C(C=C(OC)C=C8)CC7,ClC(Cl)Cl,708
F[B-]([N+]1=C(C=CC2=C3C=CC=C2)C3=C(C4=CC=CC=C4)C1=N5)(F)N6C5=C(C7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,715
F[B-]([N+]1=C(C2=CC=C(OC)C=C2CC3)C3=C(CCC4=CC=CC=C4)C1=N5)(F)N6C5=C(CCC7=CC=CC=C7)C8=C6C9=C(C=C(OC)C=C9)CC8,ClC(Cl)Cl,721
C12=C(C3=CC=CC=C3)C=C(C(C=CC=C4)=C4O5)N1[B-]5(OC6=C7C=CC=C6)[N+]8=C7C=C(C9=CC=CC=C9)C8=N2,CC1=CC=CC=C1,728
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC=CN7C)N5[B-]3(F)F)=CC=C1,ClCCl,762
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC=CN7C)N5[B-]3(C#N)F)=CC=C1,ClCCl,774
CN1C2=C(C=CC=C2)C=C1C(C3=C/4C=CC=C3)=NC4=N/C5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5,ClCCl,689
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5[B-]3(F)F)=CC9=C1C=CC=C9,ClCCl,777
CN1C(C2=[N+]3C(C4=C2C=CC=C4)=NC5=C6C(C=CC=C6)=C(C7=CC8=C(C=CC=C8)N7C)N5[B-]3(C#N)F)=CC9=C1C=CC=C9,ClCCl,793
C[Si](C)(C)C(S1)=CC=C1C(C2=C/3C=CC=C2)=NC3=N/C4=C5C(C=CC=C5)=C(C6=CC=C([Si](C)(C)C)S6)N4,ClCCl,723
F[B-]1(F)[N+]2=C(C3=CC=C([Si](C)(C)C)S3)C4=C(C=CC=C4)C2=NC5=C6C(C=CC=C6)=C(C7=CC=C([Si](C)(C)C)S7)N15,ClCCl,793
CC1=CC(/C=C/C2=CC=C(N(C)C)C=C2)=[N+]([B-](C#CCN(C)C)(C#CCN(C)C)N3C4=C(C)C=C3/C=C/C5=CC=C(O)C=C5)C1=C4C6=CC=C(C(OCC)=O)C=C6,CCO,708
